Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
Burst No., Message Pair No., o(i), d(i), theta(i), delta(i), t1, t2, t3, t4
3, 10, 354446336.0, 135559168, 368801792.0, 108343296, 16831769588864903168, 16831769589287129088, 16831769589287219200, 16831769589000552448
4, 10, 360329216.0, 117563392, 368801792.0, 108343296, 16831769589001469952, 16831769589420580864, 16831769589420675072, 16831769589119127552
5, 10, 369798144.0, 123893760, 360329216.0, 117563392, 16831769589125988352, 16831769589557733376, 16831769589557825536, 16831769589249974272
6, 10, 368494592.0, 122204160, 360329216.0, 117563392, 16831769589251002368, 16831769589680599040, 16831769589680832512, 16831769589373440000
7, 10, 369558528.0, 118532096, 360329216.0, 117563392, 16831769589374629888, 16831769589803454464, 16831769589803544576, 16831769589493252096
0, 11, 392250368.0, 216168448, 360329216.0, 117563392, 16831770620274954240, 16831770620775288832, 16831770620775487488, 16831770620491321344
1, 11, 378647552.0, 150140928, 360329216.0, 117563392, 16831770620494323712, 16831770620948041728, 16831770620948168704, 16831770620644591616
2, 11, 371986432.0, 125607936, 360329216.0, 117563392, 16831770620645918720, 16831770621080709120, 16831770621080838144, 16831770620771655680
3, 11, 370534400.0, 121958400, 360329216.0, 117563392, 16831770620772925440, 16831770621204439040, 16831770621204574208, 16831770620895019008
4, 11, 375296000.0, 131547136, 360329216.0, 117563392, 16831770620896198656, 16831770621337268224, 16831770621337411584, 16831770621027889152
5, 11, 357385216.0, 164468736, 369558528.0, 118532096, 16831770621029404672, 16831770621469024256, 16831770621469151232, 16831770621194000384
6, 11, 361784320.0, 127412224, 369558528.0, 118532096, 16831770621195417600, 16831770621620908032, 16831770621621043200, 16831770621322964992
7, 11, 360726528.0, 117243904, 369558528.0, 118532096, 16831770621324148736, 16831770621743497216, 16831770621743648768, 16831770621441544192
0, 12, 361342976.0, 152203264, 360726528.0, 117243904, 16831771652234465280, 16831771652671909888, 16831771652672102400, 16831771652386861056
1, 12, 368044032.0, 123744256, 360726528.0, 117243904, 16831771652389056512, 16831771652818972672, 16831771652819056640, 16831771652512884736
2, 12, 369756160.0, 117911552, 360726528.0, 117243904, 16831771652514111488, 16831771652942823424, 16831771652942917632, 16831771652632117248
3, 12, 367974400.0, 122785792, 360726528.0, 117243904, 16831771652632961024, 16831771653062328320, 16831771653062471680, 16831771652755890176
4, 12, 367376384.0, 124661760, 360726528.0, 117243904, 16831771652757409792, 16831771653187117056, 16831771653187207168, 16831771652882161664
